Tagalog,Part of Speech,Definition
wahilin,v,divide up property left by a deceased person who made no will
wakaak,n,1. isolation; 2. solitude; 3. exile
wakas,n,1. end; conclusion; 2. the last; 4. turning point
wakasan,v,1. stop; 2. end; conclude
wakasan,adv,once for all
wakawak,adj,1. isolated; abandoned; 2. exposed to danger (unprotected)
wakwak,adj,"1. ripped wide open; 2. having a hole (by a bomb, etc.); 3. disemboweled"
wakwakin,v,rip/tear violently or wide-open
wakya,n,1. neatness; 2. embellishment; 3. seasoning
wala,n,1. nothing; zero; 2. null; 3. without
wala isa man,comp,none; not even one
wala na,adj,extinct
wala nang itagal,comp,at the end of noe's endurance or resources
wala nang lunas,comp,incurable; helpless; beyond remedy
wala ni isa,comp,none; not even one
wala pa,comp,1. not yet arrived; 2. not yet available
wala pa sa edad,comp,not yet of age
wala rito,comp,not here; away
wala sa,comp,off; away from; far from
wala sa loob,comp,nonchalant; unconcerned
wala sa lugar,comp,inept; inapt; out of place
wala sa mapa,comp,uncharted
wala sa oras,adj,untimely; at a wrong time
wala sa paksa,comp,off the subject; irrelevant
wala sa panahon,comp,inopportune; unseasonable; out of season
wala sa ugali,comp,foreign to one's nature
walain,v,consider something of no value
walain,adj,easily lost
walaing-halaga,v,pay too little attention to; invalidate; make valueless
walang,comp,unfurnished; without furniture
walang hugis,adj,amorphous
walang laman,comp,vacuum
walang matibay na pasiya,comp,irresolute; not firm in purpose or decision
walang sinuman,comp,none; nobody; no one
walang-abiso,adv,without notice
walang-abog,adv,suddenly; without previous notice
walang-adorno,adj,without decoration
walang-alinlangan,adj,decided; definite; unquestionable
walang-alinlangan,adv,without question; decidedly; distinctly
walang-anak,adj,childless
walang-anu-ano,adv,all of a sudden
walang-anuman,adj,1. unimportant; nothing; 2. unmindful
Walang-anuman,intrj,Don't mention it! It's all right!
walang-armas,adj,unarmed
walang-armonia,adj,discordant; not in harmony
walang-arte,adj,simple; artless
walang-asawa,adj,unmarried
walang-asikaso,adj,inattentive
walang-awa,adj,merciless; ruthless; unsparing
walang-bahala,adj,1. negligent; indifferent; 2. cold; expressionless
walang-bahid,adj,unspotted; unstained; immaculate (physical/moral)
walang-bait,adj,1. senseless; lacking in wisdom; 2. fainted away
walang-batayan,adj,insupportable; without any foundation; unjustifiable
walang-batik,adj,spotless; blameless [fig.]
walang-bawa,adj,relentless; unyielding
walang-bawas,adj,no discount; no reduction
walang-bayad,adj,free; no payment
walang-bisa,adj,1. ineffectual; useless; 2. valueless; 3. void
walang-buhay,adj,lifeless; without life
walang-bunga,adj,fruitless; producing no fruit
walang-dahilan,adj,idle; ungrounded; wanton
walang-damdamin,adj,cold-blooded; lacking in feeling
walang-dangal,adj,ignoble
walang-daya,adj,fair; fairly
walang-dayang paglalaro,comp,sportsmanship; fair play
walang-delikadesa,adj,lacking in delicacy; indiscriminate
walang-dila,adj,not c [fig.]
walang-diwa,adj,senseless; foolish; unconscious
walang-Diyos,adj,godless; not believing in God
walang-duda,adv,without doubt; doubtless
walang-gaano,adj,rare; thin; not dense
walang-gaanong-kabuluhan,adj,insignificant
walang-gaanong-saysay,adj,ineffective; of little use
walang-gagawin,adj,unoccupied; idle
walang-galang,adj,1. discourteous; impolite; 2. flippant; disrespectful; 3. ribald
walang-galaw,adj,motionless
walang-gamlay,adj,powerless to move
walang-gana,adj,1. without enthusiasm; 2. without income
walang-ganang kumain,comp,having no appetite
walang-gatas,adj,dry; not giving milk (e.g. a cow)
walang-gatol,adj,without stammer or interruption
walang-gawa,adj,idle; unemployed; leisure
walang-gayak,adj,without decoration
walang-ginagawa,adj,idle; unemployed; leisure
walang-gulat,adj,fearless; brave
walang-gusto,adj,with no desire/wish; with disapproval
walang-habag,adj,pitiless; uncompassionate
walang-habas,adj,reckless; careless
walang-halaga,adj,trivial; worthless; vain; puny; petty
walang-halo,adj,unadulterated; pure; unmixed
walang-hanapbuhay,adj,unemployed; out of work
walang-hanggan,adj,infinite; boundless; unqualified
walang-hanggan,adv,infinitely
walang-hangganan,adj,unlimited; illimitable; measureless
walang-hinayang,adj,unsparing; very generous; liberal
walang-hinga,adj,without breathing; holding one's breath
walang-hinto,adj,1. continual; 2. strenuous; 3. nonstop; 4. tireless
walang-hiya,adj,shameless; impudent; barefaced; thick-skinned
walang-hiyang tao,comp,reprobate [n] ; very wicked person [n]
walang-hubog,adj,shapeless; without definite shape
walang-humpay,adj,unceasing; continuous; incessant; endless
walang-iba,adj,no other
walang-ibabayad,adj,insolvent; not able to pay debts
walang-imik,adj,quiet; silent; reticent; speechless
walang-inaalaala,adj,carefree; without worry
walang-inaayawan,adj,omnivorous; taking in everything
walang-ingat,adj,reckless; careless; unwary; unguarded
walang-ingay,adj,noiseless
walang-iniintindi,adj,carefree; without worry
walang-inililihim,adj,unreserved; frank
walang-init,adj,"without force, power or spirit (e.g. a speech)"
walang-interes,adj,uninterested; indifferent
walang-isip,adj,inconsiderate; thoughtless; careless; stupid
walang-kaabi-abiso,adv,without giving previouos notice
walang-kaabug-abog,adv,suddenly; without previous notce
walang-kaalam-alam,adj,knowing absolutely nothing
walang-kaanu-ano,adv,without any preliminaries; quite suddenly
walang-kaba,adj,daring; fearless
walang-kabagay-bagay,adj,paltry; worthless
walang-kabuluhan,adj,vain; of no use; meaningless; frivolous
walang-kadepe-depekto,adj,faultless; without a defect
walang-kagana-gana,adj,not in the least bit interested
walang-kahala-halaga,adj,of noe value at all
walang-kahalintulad,adj,without parallel
walang-kahambing,adj,without equal; inimitable; matchless
walang-kahiya-hiya,adj,completely without shame
walang-kahulilip,adj,incomparable
walang-kahulugan,adj,meaningless; pointless; senseless
walang-kaibu-ibo,adj,completely motionless
walang-kaimik-imik,adj,completely silent
walang-kaingay-ingay,adj,not a bit of noise to be heard
walang-kakasa-kasangkapan,adj,unadorned; without furnishing or ornament
walang-kakayahan,adj,incapable; not able
walang-kakibu-kibo,adj,stock-still; motionless
walang-kalaman-laman,adj,1. bare; empty; 2. vacant; not occupied
walang-kalawang,adj,stainless (without rust)
walang-kamali-mali,adj,faultless
walang-kamalian,adj,impeccable; faultless
walang-kamantsa-mantsa,adj,without any spot at all; flawless
walang-kamatayan,adj,undying; immortal
walang-kamukta-mukta,adj,having no idea (about a certain matter)
walang-kapaki-pakiramdam,adj,impassive; unaffected
walang-kapakinabangan,adj,useless; no advantage
walang-kapananagutan,adj,unaccountable; not responsible
walang-kapantay,adj,1. unequalled (US: unequaled); 2. unparalleled; 3. unapproachable
walang-kapara,adj,incomparable; matchless
walang-kapararakan,adj,worthless; of noe value or advantage
walang-kaparis,adj,without equal; inimitable; matchless
walang-kapintasan,adj,perfect; faultless; flawless
walang-kapirmihan,adj,without any permanence; unstable
walang-karanasan,adj,inexperienced
walang-karapatan,adj,having no right at all
walang-kasalanan,adj,1. sinless; 2. innocent; doing no wrong
walang-kasaliw na tugtog,comp,unaccompanied (music)
walang-kasaysayan,adj,1. baseless; 2. fruitless; 3. futile; 4. worthless
walang-kasaysayan,adj,silly; trifling; childish
walang-kasaysayang tao,comp,tramp; vagabond; rascal
walang-kasigla-sigla,adj,very dry [fig.]; not at all interesting; without spirit
walang-kasinghalaga,adj,of incomparable value
walang-kasiyahan,adj,insatiable; cannot be satisfied
walang-katapusan,adj,endless; without end
walang-katiyakan,adj,1. indecisive; 2. doubtful; 3. precarious; 5. unlikely
walang-katotohanan,adj,untruthful
walang-katulad,adj,1. incomparable; matchless; 2. indescribable; 3. unprecedented
walang-katulong,adj,unaided; without help; unattended
walang-katumbas,adj,incomparable; without any equivalent
walang-katwiran,adj,1. unreasonable; 2. groundless
walang-kaugnayan,adj,1. unconnected; 2. foreign; irrelevant
walang-kaugnayan sa relihiyon,adj,secular; worldly; not religious or sacred
walang-kawawaan,adj,having no apparent meaning
walang-kaya,adj,1. helpless; 2. incompetent; 3. unequal; 4. incapable
walang-kibo,adj,1. motionless; 2. silent
walang-kinakampihan,adj,neutral
walang-kinalaman,adj,irrespective; regardless; not considering
walang-kinikilingan,adj,unprejudiced; fair; impartial
walang-kondisyones,adj,unconditional
walang-konsiderasyon,adj,inconsiderate
walang-konsiyensiya,adj,unscrupulous
walang-kulang,adj,complete
walang-kuwenta,adj,unimportant; insignificant; childish
walang-kuwentang tao,comp,bum; riffraff; worthless people
walang-laban,adj,defenceless (US: defenseless)
walang-labis,adj,exact
walang-labis,adv,exactly; just as one has been told
walang-lagda,adj,anonymous; not signed
walang-lagot,adj,unbroken; uninterrupted
walang-lakas,adj,without strength or vigour ((S: vigor); powerless
walang-laman,adj,bare; empty; vacant; not occupied
walang-laman ang ulo,comp,empty of thought or intelligence
walang-lamang tangkas,comp,empty set (mathematics)
walang-lapian,adj,non-partisan; not supporting any political party
walang-lasa,adj,tasteless; unsavoury (US: unsavory)
walang-latoy,adj,tasteless; insipid
walang-likat,adj,without interruption
walang-lingung-likod,adj,without considering previous circumstances
walang-lingunlikod,adj,without looking back at all
walang-loob,adj,without courage
walang-lubay,adj,persistent; lasting; continuing
walang-lugal,adj,without space; without vacancy; without free time
walang-lunas,adj,1. incurable; 2. insoluble (problem)
walang-magawa,adj,having nothing to do
walang-magawa,adj,powerless; helpless
walang-maipipintas,adj,inoffensive; irreproachable; faultless
walang-makatumbas,adj,incomparable; without any equivalent
walang-makuha,adj,unobtainable
walang-malak,adj,without knowledge of; ignorant of
walang-malapitan,adj,having no one to run to in case of need
walang-malasakit,adj,aloof; unsympathetic; indifferent; apathetic
walang-malay,adj,1. innocent; 2. unconscious; 3. insensible; 4. unaware; 5. unmindful
walang-malay-tao,adj,unconscious (comatose)
walang-mali,adj,faultless; perfect
walang-maliw,adj,undying; endless; never ceasing
walang-mantsa,adj,spotless; stainless (physically/morally)
walang-mintis,adj,without fail; without miss (not hit)
walang-muang,adj,ignorant; unknowing
walang-mula't,adj,eternal; endless
walang-nakatira,adj,uninhabited (without inhabitants); unsettled (not inhabited)
walang-nalalaman,adj,without knowledge or information; in the dark
walang-nerbiyos,adj,without nerves
walang-ngipin,adj,toothless
walang-numero,adj,unnumbered
walang-oras,adj,having no set or special time
walang-pag-iimbot,adj,disinterested; free from selfish motives
walang-pag-iintindi,adj,unconcerned
walang-pagbabago,adj,constant; steady; firmly fixed; unchanging
walang-pagbabalatkayo,adj,undisguised; frank; plain
walang-pagdaramdam,adj,soulless; without noble feelings
walang-paggalang,adj,discourteous; impolite; flippant; disrespectful; ribald
walang-pagkabali,adj,peremptory
walang-pagkakaiba,adj,it makes no difference
walang-pagkakamali,adj,infallible
walang-pagkapagod,adj,indefatigable; tireless
walang-pagkaubos,adj,inexhaustible
walang-pagmamaliw,adj,undying; endless; never ceasing
walang-pagod,adj,indefatigable; tireless
walang-pagpipigil,adj,intemperate; excessive; licentious
walang-pagtingin,adj,thoughtless; indifferent
walang-pahinga,adj,without resting
walang-pakiramdam,adj,insensible
walang-pakundangan,adj,1. irreverent; disrespectful; 2. saucy; rude; 3. unmitigated
walang-pamagat,adj,nameless; having no title
walang-pananagutan,adj,irresponsible; without a sense of responsibility
walang-pananampalataya,adj,faithless; without religious faith
walang-pandamdam,adj,insensible
walang-pangalan,adj,nameless
walang-pasubali,adj,absolutely; unconditionally
walang-pasyensiya,adj,impatient
walang-pasyensya,adj,impatient
walang-patid,adj,endless; joined in a circle; without a break
walang-patlang,adj,continuous; ceaseless
walang-patumangga,adj,1. without any consideration; 2. foolhardy
walang-peligro,adj,safe; not causing harm or danger
walang-pelo-pelo,adv,openly; frankly
walang-pili,adj,promiscuous; not distinction
walang-pili,adv,at random; by chance
walang-pinag-aralan,adj,1. uneducated; illiterate; 2. brusque; rough in manner
walang-pinagtahian,adj,seamless
walang-pinapanigan,adj,not prejudiced; impartial
walang-pitagan,adj,disrespectful
walang-probetso,adj,"without any advantage, profit or benefit"
walang-puknat,adj,without stopping; ceaseless
walang-puno,adj,headless; without a leader
walang-pupo,adj,"disrespectful; not saying ""po"""
walang-puso,adj,heartless; merciless; cruel
walang-rekurso,adj,with no recourse; irremediable
walang-sagabal,adj,clear; without obstructions
walang-sakit,adj,1. painless; 2. free from any sickness; well
walang-sala,adj,accurate; correct
walang-sala,adv,1. invariably; 2. inevitably; 3. necessarily
walang-saligan,adj,insupportable; without any foundation; unjustifiable
walang-salita,adj,"speechless (because of fear, shame or shyness)"
walang-saya,adj,cheerless; gloomy; dreary
walang-saysay,adj,empty; meaningless
walang-sentido-komun,adj,lightheaded; wanting in common sense
walang-sigla,adj,1. apathetic; 2. lifeless; 3. phlegmatic; 4. slow; 5. supine; 6. washed-out; 7. languid; 8. vapid
walang-silbi,adj,good-for-nothing
walang-simbuyo,adj,dispassionate; free from emotion/prejudice
walang-sinasabi,adj,1. silent; not speaking; 2. useless
walang-sira,adj,flawless; perfect; without defect
walang-sulat,adj,blank; not written on
walang-suwerte,adj,unfortunate; unhappy; unlucky
walang-taba,adj,lean; having little fat
walang-tahi,adj,seamless
walang-takda,adj,1. limitless; indefinite; 2. unreserved; without reservation
walang-takip,adj,uncovered; naked; open
walang-takot,adj,intrepid; fearless; daring
walang-taktika,adj,tactless
walang-tali,adj,not tied; loose
walang-taning,adj,indefinite; not limited
walang-taros,adj,1. wild; 2. uncontrolled; heedless; 3. hare-brained; 4. wanton; heartless
walang-tasa,adj,limitless; without restrictions
walang-tatag,adj,shaky; not reliable
walang-tawad,adj,without discount
walang-tawid,adj,1. no crossing; forbidden to cross; 2. hopeless
walang-testamento,adj,intestate; having made no will
walang-tibay,adj,shaky; not reliable
walang-tigatig,adj,1. impassive; calm; impassively; calmly; 2. steady; not nervous
walang-tigil,adj,1. continual; 2. strenuous; 3. nonstop; 4. tireless
walang-tigil,adv,continually; continuously; on and on
walang-tinag,adj,1. motionless; 2. unflinching; 3. unrelenting
walang-tinutukoy,adj,impersonal
walang-titulo,adj,nameless; having no title
walang-tiwala,adj,without trust; without confidence
walang-trabaho,adj,unemployed; out of work
walang-tubig,adj,dry; having no water
walang-tugot,adj,ceaseless
walang-tulis,adj,pointless; without sharp end
walang-tulog,adj,sleepless; restless; wakeful
walang-tulong,adj,unaided; unattended
walang-tuto,adj,uncontrolled; immoderate
walang-tutol,adj,1. passive; not resisting; 2. resigned; accepting without complaint
walang-ulap,adj,cloudless
walang-ulirat,adj,unconscious (comatose)
walang-ulo,adj,1. headless; 2. dull; weak-minded
walang-utak,adj,stupid; foolish; brainless
walang-utang-na-loob,adj,having no gratitude; ungrateful
walang-wakas,adj,undying; without end
walang-wala,adj,1. destitute; entirely without; 2. broke; 3. devoid
walat,adj,destroyed; demolished
walatin,v,destroy
walawala,n,1. pretended ignorance; 2. distracting another's attention
waldas,adj,wasted; squandered
waligwig,n,1. an animal's shaking of the body; 2. sprinkling water on clothes to be ironed
waligwigan,v,sprinkle with water (on clothes to be ironed)
waling-bahala,v,disregard; pay no attention to
waling-halaga,v,1. pay too little attention to; make little of; 2. invalidate; make valueless
walis,n,broom
walis na tambo,comp,broom mad of stalks of grass
walis na tingting,comp,broom made of ribs from palm leaves
walisan,v,"sweep; clean a floor, etc. with a broom"
walisin,v,sweep; remove with a broom
waliswalisan,n,broom weed (weed used for making brooms)
waliswis,n,swishing sound from trees made by the wind
waliwali,n,closeness of the time of delivery of pregnant woman
